1|eSocial||G|-|1|-|-|eSocial
2|evtFechaEvPer|eSocial|G|-|1|-|-|Evento Fechamento dos Eventos Periódicos.Regras de validação:REGRA_CONVIVENCIA_VERSAO_PISREGRA_ENVIO_PROC_FECHAMENTOREGRA_EVE_FOPAG_SIMPLIFICADOREGRA_EXISTE_INFO_EMPREGADORREGRA_REMUN_ANUAL_DEZEMBROREGRA_VALIDA_EMPREGADORREGRA_VALIDA_FECHAMENTO_FOPAG
3|Id|evtFechaEvPer|A|C|1|36|-|Identificação única do evento.Regra de validação:REGRA_VALIDA_ID_EVENTO
4|ideEvento|evtFechaEvPer|G|-|1|-|-|Informações de identificação do evento.
5|indApuracao|ideEvento|E|N|1|1|-|Indicativo de período de apuração.Valores válidos:1 - Mensal2 - Anual (13° salário)
6|perApur|ideEvento|E|C|1|7|-|Informar o mês/ano (formato AAAA-MM) de referência das informações, se indApuracao for igual a [1], ou apenas o ano (formato AAAA), se            indApuracao for igual a [2].Validação: Deve ser um mês/ano ou ano válido, igual ou posterior ao início da            obrigatoriedade dos eventos periódicos para o empregador.
7|indGuia|ideEvento|E|N|0-1|1|-|Indicativo do tipo de guia.Valores válidos:1 - Documento de Arrecadação do eSocial - DAE
8|tpAmb|ideEvento|E|N|1|1|-|Identificação do ambiente.Valores válidos:1 - Produção2 - Produção restrita7 - Validação (uso interno)8 - Teste (uso interno)9 - Desenvolvimento (uso interno)
9|procEmi|ideEvento|E|N|1|2|-|Processo de emissão do evento.Valores válidos:1 - Aplicativo do empregador2 - Aplicativo governamental - Simplificado Pessoa Física3 - Aplicativo governamental - Web Geral4 - Aplicativo governamental - Simplificado Pessoa Jurídica22 - Aplicativo governamental para dispositivos móveis - Empregador Doméstico
10|verProc|ideEvento|E|C|1|20|-|Versão do processo de emissão do evento. Informar a versão do aplicativo emissor do evento.
11|ideEmpregador|evtFechaEvPer|G|-|1|-|-|Informações de identificação do empregador.
12|tpInsc|ideEmpregador|E|N|1|1|-|Preencher com o código correspondente ao tipo de inscrição, conforme Tabela 05.Valores válidos:1 - CNPJ2 - CPF
13|nrInsc|ideEmpregador|E|C|1|14|-|Informar o número de inscrição do contribuinte de acordo com o tipo de inscrição indicado no campo ideEmpregador/tpInsc e conforme informado em S-1000.
14|infoFech|evtFechaEvPer|G|-|1|-|-|Informações do fechamento.
15|evtRemun|infoFech|E|C|1|1|-|Possui informações relativas a remuneração de trabalhadores ou provento/pensão de beneficiários no período            de apuração?Valores válidos:S - SimN - NãoValidação: Se for igual a [S], deve existir evento de remuneração (S-1200, S-1202, S-1207,            S-2299 ou S-2399) para o período de apuração, considerando o campo indGuia. Caso contrário, não deve existir evento de remuneração.
16|evtPgtos|infoFech|E|C|1|1|-|Possui informações de pagamento de rendimentos do trabalho no período de apuração?Valores válidos:S - SimN - NãoValidação: Se for igual a [S], deve existir o evento S-1210 para o período de apuração,            considerando o campo indGuia. Caso contrário, não deve existir o            evento.
17|evtComProd|infoFech|E|C|1|1|-|Possui informações de comercialização de produção?Valores válidos:S - SimN - NãoValidação: Se for igual a [S], deve existir o evento S-1260 para o período de apuração,            considerando o campo indGuia. Caso contrário, não deve existir o            evento.
18|evtContratAvNP|infoFech|E|C|1|1|-|Contratou, por intermédio de sindicato, serviços de trabalhadores avulsos não portuários?Valores válidos:S - SimN - NãoValidação: Se for igual a [S], deve existir o evento S-1270 para o período de apuração,            considerando o campo indGuia. Caso contrário, não deve existir o            evento.
19|evtInfoComplPer|infoFech|E|C|1|1|-|Possui informações de desoneração de folha de pagamento ou, sendo empresa enquadrada no Simples, possui            informações sobre a receita obtida em atividades cuja contribuição previdenciária incidente sobre a folha de            pagamento é concomitantemente substituída e não substituída?Valores válidos:S - SimN - NãoValidação: Se for igual a [S], deve existir o evento S-1280 para o período de apuração.            Caso contrário, não deve existir o evento.
20|indExcApur1250|infoFech|E|C|0-1|1|-|Indicativo de exclusão de apuração das aquisições de produção rural (eventos S-1250) do período de apuração.Valores válidos:S - SimValidação: Não informar se perApur >= [2021-07] ou            se indApuracao = [2]. Preenchimento obrigatório caso o campo tenha            sido informado em fechamento anterior do mesmo período de apuração.
21|transDCTFWeb|infoFech|E|C|0-1|1|-|Solicitação de transmissão imediata da DCTFWeb.Valores válidos:S - SimValidação: Não informar se perApur < [2021-10].            Preenchimento obrigatório se perApur >= [2021-10] e (classTrib em S-1000 = [04] ou indGuia estiver informado).
22|naoValid|infoFech|E|C|0-1|1|-|Indicativo de não validação das regras de fechamento, para que os grandes contribuintes possam reduzir o            tempo de processamento do evento.            O não preenchimento deste campo ou seu preenchimento com [S] implica a não execução da            REGRA_VALIDA_FECHAMENTO_FOPAG. Para executá-la, informar [N].Valores válidos:S - SimN - Não
